artist_name,track_name,track_id,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
Jhené Aiko,Triggered (freestyle),3zPgAKn5tbmCuCKrR3r7qE,68,0.485,0.389,-10.765,0.298,0.799,0,0.391,93.175
Megan Thee Stallion,B.I.T.C.H.,06scTb0zbkxYNgpAB3J9fN,76,0.742,0.731,-4.362,0.306,0.0851,0,0.547,174.019
Jhené Aiko,Born Tired,1IccfvDqh1CGWNdMThjycb,68,0.511,0.312,-10.424,0.0412,0.572,0,0.267,113.771
Jhené Aiko,Surrender (feat. Dr. Chill),1vPw8XDPJLMmIaQGHYQ7Pp,67,0.534,0.464,-10.209,0.0426,0.623,0.000244,0.119,134.568
Eminem,Those Kinda Nights (feat. Ed Sheeran),0VSzREd1OjEWJ9tXoFHRQH,82,0.794,0.637,-6.29,0.339,0.028,0,0.393,103.868
Jhené Aiko,Lightning & Thunder (feat. John Legend),68q4iNShG47zCF2LBlkybk,67,0.272,0.358,-11.231,0.0442,0.503,1.06E-05,0.281,82.047
The Kid LAROI,Diva (feat. Lil Tecca),7gVwgc8b3XnO87TpmXXFA5,79,0.686,0.703,-6.141,0.0606,0.00728,0,0.457,144.902
Pop Smoke,Shake The Room (feat. Quavo),7rSnKi58HPIVC0FVyh04Q1,79,0.733,0.684,-4.748,0.177,0.142,0,0.437,142.04
Jhené Aiko,Pray For You,3JHQY6VnwmUMuYb0XI2O7Y,67,0.525,0.478,-11.203,0.441,0.787,6.14E-06,0.276,147.741
BTS,Black Swan,24NuEDgyRIljwSyY0lsr7b,84,0.719,0.758,-5.167,0.0851,0.137,0,0.49,147.023
YoungBoy Never Broke Again,Red Eye,3qHgGyJY4GpXNOK4WL4NSo,75,0.485,0.814,-3.907,0.138,0.217,0,0.327,159.894
Anuel AA,Keii,5eEQCfq7MXQr6aHLNRUZLs,88,0.708,0.797,-3.095,0.0391,0.4,0,0.51,88.015
Jhené Aiko,Lotus - intro,1aWBNkWrY3VA2eeV6ljGQf,67,0.48,0.274,-17.702,0.316,0.914,0,0.547,94.539
Jhené Aiko,Define Me - interlude,1lXhfXGzzU2kFlGhaalfjF,66,0.529,0.0956,-19.221,0.0528,0.949,7.25E-05,0.551,106.029
Jhené Aiko,LOVE,6KtnTQVGjWlGDFAuThCTYk,66,0.362,0.466,-8.161,0.0858,0.0663,1.13E-05,0.339,83.944
Tame Impala,Breathe Deeper,3LbZIhU0smEU5SUnxod4j4,79,0.664,0.848,-4.51,0.0322,0.0245,0.000127,0.502,104.998
BTS,My Time,4vTgx6h4seHvkuFh84JXYP,82,0.674,0.64,-5.139,0.0339,0.151,0,0.664,99.908
Mac Miller,Circles,4jXl6VtkFFKIt3ycUQc5LT,78,0.61,0.0316,-15.186,0.0486,0.896,0.00461,0.37,151.964
Joyner Lucas,Revenge,43mwjiAXLMqkOv4vtlNweU,78,0.844,0.574,-4.886,0.382,0.306,0,0.476,158.047
5 Seconds of Summer,Old Me,5RUUkFNqH3GRKHg1xjprOb,82,0.721,0.621,-3.639,0.0483,0.304,0,0.473,127.976
Megan Thee Stallion,Captain Hook,1E3VQQWFQAPJkXfYHjqWoI,73,0.863,0.633,-5.002,0.287,0.0118,0,0.545,163.991
Eminem,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",0GQ5bFTVFFKpwNPc7KwQnB,80,0.68,0.82,-4.197,0.151,0.0614,0,0.243,140.033
BTS,UGH!,1aKuG1GG76xPLUkjBbQo3W,81,0.72,0.824,-5.086,0.128,0.0394,0,0.333,165.998
Lil Skies,Havin My Way (feat. Lil Durk),0oH0OIeKJSAT5bdFkbz20A,73,0.802,0.737,-4.862,0.0757,0.275,0,0.712,127.014
Bankrol Hayden,Costa Rica,2iObjOsy2vpsariW4Y7hQg,78,0.9,0.482,-8.98,0.421,0.201,0,0.68,127.866
Taylor Swift,Only The Young - Featured in Miss Americana,2slqvGLwzZZYsT4K4Y1GBC,81,0.56,0.78,-4.895,0.0517,0.00244,0,0.602,93.516
H.E.R.,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",6MO2bfLHKykUgCChFdw91H,77,0.815,0.513,-8.363,0.244,0.0145,0.000102,0.17,96.982
Eminem,Unaccommodating (feat. Young M.A),0q2vG0UVuy6ajjcpkQHdZM,79,0.852,0.752,-5.793,0.0597,0.0169,0,0.389,89.95
Lil Tjay,20/20,4Hqh0dS4x07zuRw6eBTO7p,77,0.886,0.336,-12.779,0.239,0.557,0,0.536,100.044
Eminem,Darkness,5SiZJoLXp3WOl3J4C8IK0d,80,0.671,0.623,-7.161,0.308,0.00998,7.55E-06,0.195,75.055
BTS,Louder than bombs,3op7HNwLli54MBjFGzIlZO,82,0.643,0.667,-6.993,0.152,0.0433,0,0.485,145.999
Bazzi,Young & Alive,5RsKelNxucrDxgMbZ3vd3W,75,0.716,0.563,-5.486,0.0425,0.326,0,0.495,86.005
AJR,Bang!,53BHUFdQphHiZUUG3nx9zn,72,0.74,0.516,-6.233,0.0507,0.0183,0,0.698,139.918
Shakira,Me Gusta,5Xhqh4lwJPtMUTsdBztN1a,88,0.775,0.696,-5.184,0.0681,0.0559,0.00184,0.775,92.007
